,R,G,B,hist,framenum,frameName
1,9.4,5.108,3.032,0.25,39.0,monstruo/monstruo-039.png
2,22.8453038674,16.0276243094,10.8839779006,0.181,39.0,monstruo/monstruo-039.png
3,30.4677419355,21.5806451613,14.6129032258,0.062,39.0,monstruo/monstruo-039.png
4,42.3181818182,31.1818181818,22.8181818182,0.022,39.0,monstruo/monstruo-039.png
5,9.8,12.6,17.85,0.02,39.0,monstruo/monstruo-039.png
6,31.1666666667,44.75,68.75,0.012,39.0,monstruo/monstruo-039.png
7,20.2,23.8,38.9,0.01,39.0,monstruo/monstruo-039.png
0,14.2831541219,8.87096774194,4.88172043011,0.279,40.0,monstruo/monstruo-040.png
1,17.8782287823,11.594095941,6.65313653137,0.271,40.0,monstruo/monstruo-040.png
2,9.43181818182,4.66477272727,2.96022727273,0.176,40.0,monstruo/monstruo-040.png
3,22.8106060606,15.7121212121,10.2954545455,0.132,40.0,monstruo/monstruo-040.png
4,27.4642857143,18.7976190476,13.1071428571,0.084,40.0,monstruo/monstruo-040.png
5,33.4523809524,22.9761904762,15.4761904762,0.042,40.0,monstruo/monstruo-040.png
6,42.8571428571,30.4285714286,21.2857142857,0.014,40.0,monstruo/monstruo-040.png
7,60.0,44.5,30.5,0.002,40.0,monstruo/monstruo-040.png
0,14.3726937269,9.14760147601,4.88560885609,0.271,41.0,monstruo/monstruo-041.png
1,17.8729508197,11.6229508197,6.49180327869,0.244,41.0,monstruo/monstruo-041.png
2,9.56476683938,4.81865284974,2.96373056995,0.193,41.0,monstruo/monstruo-041.png
3,21.9534883721,15.1860465116,9.90697674419,0.129,41.0,monstruo/monstruo-041.png
